Cluster;Reproducibility;Log2.Abundance.;Average.Spearmann.Correlation.Coefficient.between.Replicates;PearsonCorrCoeff_to_ME;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;F13;F1415;F1617;F18;Maximum.Fraction;Average.Fraction;No.of.peaks;Peak.fractions;Feature.Type;Feature.Subtype;Amino.Acid.Sequence.Length;locustag_ID;locustag;genename_1;TU;annotation..cyanobase.;GO.NAME;GOT_DNA_RNA_Nucleotide;Gene_ID_IndMode;location
10;All Replicates;2.987;0.537;0.91;0;0;0;0.014;0.112;0.272;0.187;0.065;0.115;0.07;0.044;0.047;0.041;0.016;0.017;0;6;7.8976;2;6, 9;RNA;mRNA;NA;slr1501;slr1501;NA;TU55;probable acetyltransferase;N-acetyltransferase activity,;;slr1501 (mRNA / CDS) - TU55;Chr
4;All Replicates;27.061;0.833;0.988;0;0;0.233;0.554;0.126;0.048;0.018;0;0;0.018;0;0;0.001;0;0;0.001;4;4.1769;1;4;Protein;Protein;225;slr1501;slr1501;NA;TU55;probable acetyltransferase;N-acetyltransferase activity,;No_GO;slr1501 (Protein) - TU55;Chr
10;All Replicates;4.381;0.718;0.908;0;0;0.002;0.012;0.14;0.275;0.223;0.084;0.045;0.033;0.031;0.012;0.018;0.036;0.017;0.072;6;8.1842;2;6, 18;RNA;mRNA;NA;slr1505;slr1505;NA;TU1628;unknown protein;NA;;slr1505 (mRNA / CDS) - TU1628;Chr
3;All Replicates;29.312;0.808;0.969;0.009;0.049;0.346;0.491;0.085;0.015;0.004;0.001;0;0;0;0;0;0;0;0;4;3.6617;1;4;Protein;Protein;198;slr1505;slr1505;NA;TU1628;unknown protein;NA;No_GO;slr1505 (Protein) - TU1628;Chr
10;All Replicates;4.689;0.663;0.985;0;0;0.009;0.021;0.066;0.172;0.275;0.111;0.076;0.09;0.052;0.042;0.032;0.016;0.008;0.031;7;8.272;2;7, 10;RNA;mRNA;NA;slr1506;slr1506;NA;TU1632;hypothetical protein;1-alkyl-2-acetylglycerophosphocholine esterase activity, lipid catabolic process,;;slr1506 (mRNA / CDS) - TU1632;Chr
6;All Replicates;32.178;0.907;0.995;0;0;0.032;0.457;0.361;0.101;0.028;0.012;0.005;0.003;0.001;0;0;0;0;0;4;4.7161;1;4;Protein;Protein;622;slr1506;slr1506;NA;TU1632;hypothetical protein;1-alkyl-2-acetylglycerophosphocholine esterase activity, lipid catabolic process,;No_GO;slr1506 (Protein) - TU1632;Chr
10;All Replicates;4.367;0.854;0.966;0;0;0.002;0.018;0.119;0.256;0.252;0.071;0.045;0.059;0.071;0.049;0.028;0.024;0.009;0;6;7.7411;2;6, 11;RNA;mRNA;NA;slr1507;slr1507;NA;TU1633;hypothetical protein;catalytic activity, iron-sulfur cluster binding,;;slr1507 (mRNA / CDS) - TU1633;Chr
5;All Replicates;27.695;0.832;0.98;0;0;0.02;0.587;0.253;0.091;0.036;0.009;0;0.002;0.001;0;0;0;0;0.001;4;4.5942;1;4;Protein;Protein;360;slr1507;slr1507;NA;TU1633;hypothetical protein;catalytic activity, iron-sulfur cluster binding,;No_GO;slr1507 (Protein) - TU1633;Chr
10;All Replicates;2.159;0.352;0.695;0;0;0.003;0.024;0.324;0.189;0.196;0.051;0.025;0.012;0.084;0.059;0.019;0.014;0;0;5;7.0703;3;5, 7, 11;RNA;5UTR;NA;slr1507-5UTR;slr1507;NA;TU1633;hypothetical protein;catalytic activity, iron-sulfur cluster binding,;;slr1507-5UTR (5'UTR) - TU1633;Chr
10;All Replicates;7.853;0.874;0.987;0;0;0.001;0.005;0.083;0.217;0.324;0.107;0.048;0.055;0.055;0.035;0.031;0.017;0.011;0.011;7;7.8927;1;7;RNA;mRNA;NA;slr1513;slr1513;NA;TU1642;periplasmic protein, function unknown;thylakoid, plasma membrane, membrane, thylakoid membrane,;;slr1513 (mRNA / CDS) - TU1642;Chr
7;All Replicates;34.051;0.97;0.96;0.001;0.014;0.13;0.227;0.342;0.203;0.048;0.017;0.008;0.007;0.002;0.001;0;0;0;0;5;4.9166;1;5;Protein;Protein;110;slr1513;slr1513;NA;TU1642;periplasmic protein, function unknown;thylakoid, plasma membrane, membrane, thylakoid membrane,;No_GO;slr1513 (Protein) - TU1642;Chr
14;All Replicates;4.578;0.485;0.907;0;0;0.005;0.074;0.014;0.047;0.06;0.049;0.172;0.214;0.108;0.054;0.059;0.036;0.086;0.024;10;10.1219;3;4, 10, 16.5;RNA;Transposase;NA;slr1522;slr1522;NA;TU1655;NA;;;slr1522 (transp mRNA / CDS) - TU1655;Chr
13;All Replicates;3.347;0.659;0.951;0;0;0.032;0.203;0.046;0.07;0.064;0.105;0.2;0.142;0.073;0.022;0.024;0.004;0.002;0.013;4;7.7624;3;4, 6, 9;RNA;Transposase;NA;slr1524;slr1524;NA;TU1659;NA;;;slr1524 (transp mRNA / CDS) - TU1659;Chr
10;All Replicates;4.259;0.729;0.971;0;0;0.01;0.064;0.065;0.194;0.234;0.084;0.07;0.097;0.076;0.029;0.048;0.019;0.009;0;7;7.9204;2;7, 10;RNA;mRNA;NA;slr1529;slr1529;NA;;nitrogen assimilation regulatory protein;ATP binding, regulation of transcription, DNA-templated, transcription factor binding, membrane, integral component of membrane,;;slr1529 (mRNA / CDS);Chr
8;All Replicates;26.927;0.547;0.96;0;0;0.02;0.064;0.665;0.233;0.004;0.012;0;0;0.001;0;0;0;0;0.001;5;5.1923;1;5;Protein;Protein;835;slr1529;slr1529;NA;;nitrogen assimilation regulatory protein;ATP binding, regulation of transcription, DNA-templated, transcription factor binding, membrane, integral component of membrane,;No_GO;slr1529 (Protein);Chr
2;All Replicates;29.075;0.837;0.991;0;0.092;0.646;0.172;0.051;0.037;0;0;0;0;0;0;0;0.001;0.001;0.001;3;3.3218;1;3;Protein;Protein;115;slr1533;slr1533;NA;TU1980;hypothetical protein;NA;No_GO;slr1533 (Protein) - TU1980;Chr
10;All Replicates;3.227;0.67;0.876;0;0;0.007;0.115;0.131;0.223;0.181;0.126;0.062;0.056;0.012;0.037;0.046;0.003;0;0;6;7.0866;1;6;RNA;mRNA;NA;slr1534;slr1534;NA;TU1980;hypothetical protein;hydrolase activity, proteolysis, serine-type peptidase activity, peptidase activity, carboxypeptidase activity,;;slr1534 (mRNA / CDS) - TU1980;Chr
5;All Replicates;28.841;0.765;0.998;0;0;0.123;0.569;0.201;0.087;0.011;0;0;0;0;0;0;0.002;0.006;0;4;4.3919;1;4;Protein;Protein;301;slr1534;slr1534;NA;TU1980;hypothetical protein;hydrolase activity, proteolysis, serine-type peptidase activity, peptidase activity, carboxypeptidase activity,;No_GO;slr1534 (Protein) - TU1980;Chr
14;All Replicates;2.414;0.463;0.925;0;0;0.014;0.06;0;0.09;0.1;0.103;0.188;0.169;0.104;0.033;0.051;0.015;0;0.073;9;9.4684;2;9, 18;RNA;mRNA;NA;slr1537;slr1537;NA;TU994;unknown protein;transferase activity, transferring glycosyl groups,;;slr1537 (mRNA / CDS) - TU994;Chr
5;All Replicates;28.698;0.922;0.977;0.001;0.004;0.205;0.638;0.117;0.023;0.012;0;0;0;0;0;0;0;0;0;4;3.9823;1;4;Protein;Protein;289;slr1537;slr1537;NA;TU994;unknown protein;transferase activity, transferring glycosyl groups,;No_GO;slr1537 (Protein) - TU994;Chr
10;All Replicates;3.544;0.381;0.975;0;0.001;0.015;0.023;0.116;0.196;0.231;0.103;0.064;0.045;0.089;0.033;0.025;0.038;0.022;0;7;7.9658;2;7, 11;RNA;mRNA;NA;slr1540;slr1540;NA;TU995;mRNA-binding protein;galactose catabolic process via UDP-galactose, galactose catabolic process, cytosol, UDP-glucose 4-epimerase activity, catalytic activity, coenzyme binding,;;slr1540 (mRNA / CDS) - TU995;Chr
8;All Replicates;32.002;0.915;0.995;0;0.001;0.001;0.168;0.494;0.258;0.061;0.012;0.002;0.002;0;0;0;0;0;0;5;5.2689;1;5;Protein;Protein;311;slr1540;slr1540;NA;TU995;mRNA-binding protein;galactose catabolic process via UDP-galactose, galactose catabolic process, cytosol, UDP-glucose 4-epimerase activity, catalytic activity, coenzyme binding,;No_GO;slr1540 (Protein) - TU995;Chr
10;All Replicates;1.504;0.524;0.91;0;0;0.006;0;0;0.162;0.401;0.101;0.104;0.086;0.041;0.027;0.04;0.032;0;0;7;8.163;2;7, 9;RNA;5UTR;NA;slr1540-5UTR;slr1540;NA;TU995;mRNA-binding protein;galactose catabolic process via UDP-galactose, galactose catabolic process, cytosol, UDP-glucose 4-epimerase activity, catalytic activity, coenzyme binding,;;slr1540-5UTR (5'UTR) - TU995;Chr
10;All Replicates;3.443;0.456;0.86;0;0;0.003;0.028;0.055;0.203;0.174;0.075;0.049;0.083;0.037;0.062;0.038;0.052;0.032;0.109;6;9.588;3;6, 10, 18;RNA;mRNA;NA;slr1541;slr1541;NA;TU995;hypothetical protein;NA;;slr1541 (mRNA / CDS) - TU995;Chr
10;All Replicates;28.928;0.834;0.88;0;0;0.03;0.147;0.2;0.381;0.184;0.032;0.008;0.005;0.002;0.002;0.001;0.002;0.003;0;6;5.7901;1;6;Protein;Protein;210;slr1541;slr1541;NA;TU995;hypothetical protein;NA;No_GO;slr1541 (Protein) - TU995;Chr
10;All Replicates;7.939;0.894;0.988;0;0;0.001;0.005;0.078;0.24;0.294;0.121;0.047;0.055;0.051;0.032;0.031;0.013;0.013;0.019;7;7.943;1;7;RNA;mRNA;NA;slr1546;slr1546;NA;TU1002;hypothetical protein;membrane, integral component of membrane,;;slr1546 (mRNA / CDS) - TU1002;Chr
3;All Replicates;23.851;0.732;0.944;0.039;0.057;0.579;0.306;0;0;0;0;0;0.019;0;0;0;0;0;0;3;3.3036;1;3;Protein;Protein;212;slr1546;slr1546;NA;TU1002;hypothetical protein;membrane, integral component of membrane,;No_GO;slr1546 (Protein) - TU1002;Chr
10;All Replicates;5.409;0.855;0.977;0;0;0.002;0.035;0.122;0.228;0.232;0.084;0.064;0.052;0.053;0.042;0.039;0.02;0.019;0.005;7;7.8312;1;7;RNA;mRNA;NA;slr1547;slr1547;NA;TU1002;hypothetical protein;integral component of membrane, membrane,;;slr1547 (mRNA / CDS) - TU1002;Chr
8;All Replicates;24.291;0.896;0.955;0;0;0;0;0.506;0.462;0.032;0;0;0;0;0;0;0;0;0;5;5.5257;1;5;Protein;Protein;332;slr1547;slr1547;NA;TU1002;hypothetical protein;integral component of membrane, membrane,;No_GO;slr1547 (Protein) - TU1002;Chr
13;All Replicates;2.867;0.623;0.91;0.001;0;0.007;0.105;0.131;0.117;0.099;0.063;0.196;0.136;0.115;0.014;0.015;0;0;0;9;7.7552;2;5, 9;RNA;mRNA;NA;slr1552;slr1552;NA;TU1019;unknown protein;membrane, integral component of membrane,;;slr1552 (mRNA / CDS) - TU1019;Chr
11;All Replicates;26.926;0.658;0.973;0.001;0.004;0.003;0;0.007;0.009;0.214;0.447;0.194;0.087;0.02;0.007;0.002;0;0.001;0.004;8;8.2211;1;8;Protein;Protein;844;slr1552;slr1552;NA;TU1019;unknown protein;membrane, integral component of membrane,;No_GO;slr1552 (Protein) - TU1019;Chr
10;All Replicates;4.915;0.818;0.969;0;0;0.002;0.023;0.143;0.222;0.238;0.104;0.041;0.066;0.042;0.038;0.026;0.033;0.014;0.01;7;7.8093;2;7, 10;RNA;mRNA;NA;slr1557;slr1557;NA;TU3540;hypothetical protein;NA;;slr1557 (mRNA / CDS) - TU3540;Chr
1;All Replicates;28.346;0.664;0.999;0.01;0.37;0.452;0.114;0.038;0.002;0.007;0.001;0.001;0.001;0.002;0.002;0;0;0;0.001;3;2.8946;1;3;Protein;Protein;369;slr1557;slr1557;NA;TU3540;hypothetical protein;NA;No_GO;slr1557 (Protein) - TU3540;Chr
10;All Replicates;5.025;0.746;0.984;0;0;0.002;0.024;0.09;0.166;0.224;0.104;0.074;0.095;0.046;0.047;0.048;0.011;0.04;0.028;7;8.5871;2;7, 10;RNA;mRNA;NA;slr1563;slr1563;NA;TU3549;hypothetical protein;kinase activity, transferase activity, phosphorylation,;;slr1563 (mRNA / CDS) - TU3549;Chr
5;All Replicates;27.083;0.746;0.996;0;0.002;0.157;0.606;0.222;0.011;0;0.002;0;0;0;0;0;0;0;0;4;4.0914;1;4;Protein;Protein;295;slr1563;slr1563;NA;TU3549;hypothetical protein;kinase activity, transferase activity, phosphorylation,;No_GO;slr1563 (Protein) - TU3549;Chr
10;All Replicates;2.133;0.309;0.844;0;0;0.015;0.029;0.028;0.127;0.238;0.093;0.117;0.031;0.062;0.095;0.097;0.061;0.009;0;7;8.9315;3;7, 9, 13;RNA;mRNA;NA;slr1565;slr1565;NA;TU3554;hypothetical protein;2 iron, 2 sulfur cluster binding, iron-sulfur cluster assembly, protein maturation by iron-sulfur cluster transfer, protein binding, structural molecule activity, iron-sulfur cluster binding,;;slr1565 (mRNA / CDS) - TU3554;Chr
3;All Replicates;26.009;0.888;0.994;0;0.087;0.426;0.361;0.115;0.01;0;0.001;0;0;0;0;0;0;0;0;3;3.5369;1;3;Protein;Protein;113;slr1565;slr1565;NA;TU3554;hypothetical protein;2 iron, 2 sulfur cluster binding, iron-sulfur cluster assembly, protein maturation by iron-sulfur cluster transfer, protein binding, structural molecule activity, iron-sulfur cluster binding,;No_GO;slr1565 (Protein) - TU3554;Chr
5;All Replicates;24.731;0.996;0.986;0;0;0.171;0.684;0.144;0;0;0;0;0;0;0;0;0;0;0;4;3.9729;1;4;Protein;Protein;136;slr1568;slr1568;NA;;hypothetical protein;NA;No_GO;slr1568 (Protein);Chr
10;All Replicates;5.276;0.813;0.986;0;0;0.002;0.024;0.057;0.189;0.263;0.129;0.062;0.081;0.067;0.042;0.042;0.019;0.004;0.019;7;8.2492;2;7, 10;RNA;mRNA;NA;slr1570;slr1570;NA;TU3560;hypothetical protein;NA;;slr1570 (mRNA / CDS) - TU3560;Chr
15;All Replicates;23.205;0.633;0.947;0;0;0;0;0;0;0.104;0;0.021;0.261;0.453;0.114;0.032;0;0.005;0.009;11;10.5533;2;7, 11;Protein;Protein;219;slr1570;slr1570;NA;TU3560;hypothetical protein;NA;No_GO;slr1570 (Protein) - TU3560;Chr
10;All Replicates;2.317;0.77;0.906;0;0;0;0.007;0;0.154;0.33;0.135;0.06;0.091;0.061;0.061;0.087;0.014;0;0;7;8.5239;3;7, 10, 13;RNA;5UTR;NA;slr1570-5UTR;slr1570;NA;TU3560;hypothetical protein;NA;;slr1570-5UTR (5'UTR) - TU3560;Chr
10;All Replicates;3.765;0.645;0.889;0;0;0.002;0.053;0.03;0.153;0.183;0.1;0.112;0.102;0.076;0.085;0.039;0.038;0.026;0;7;8.753;3;7, 9, 12;RNA;mRNA;NA;slr1571;slr1571;NA;TU3560;unknown protein;NA;;slr1571 (mRNA / CDS) - TU3560;Chr
15;All Replicates;24.105;0.785;0.899;0;0;0;0;0;0.025;0.072;0.108;0.136;0.157;0.223;0.14;0.045;0.026;0.014;0.053;11;10.6059;1;11;Protein;Protein;226;slr1571;slr1571;NA;TU3560;unknown protein;NA;No_GO;slr1571 (Protein) - TU3560;Chr
10;All Replicates;3.964;0.611;0.85;0;0;0.006;0.036;0.019;0.171;0.165;0.084;0.105;0.126;0.091;0.057;0.024;0.021;0.058;0.038;6;9.2398;2;6, 10;RNA;mRNA;NA;slr1572;slr1572;NA;TU3560;hypothetical protein;NA;;slr1572 (mRNA / CDS) - TU3560;Chr
8;All Replicates;24.441;0.381;0.937;0;0.014;0.04;0.065;0.346;0.16;0.181;0.053;0.028;0.042;0.029;0.023;0;0.013;0.002;0.006;5;6.3634;2;5, 7;Protein;Protein;284;slr1572;slr1572;NA;TU3560;hypothetical protein;NA;No_GO;slr1572 (Protein) - TU3560;Chr
10;All Replicates;3.492;0.57;0.914;0;0;0.002;0.055;0.026;0.128;0.256;0.13;0.1;0.086;0.08;0.058;0.056;0.018;0.006;0;7;8.3614;1;7;RNA;mRNA;NA;slr1573;slr1573;NA;TU3562;hypothetical protein;copper ion binding, metal ion binding, oxidation-reduction process, oxidoreductase activity,;;slr1573 (mRNA / CDS) - TU3562;Chr
2;All Replicates;28.619;0.915;0.98;0;0.063;0.531;0.315;0.067;0.021;0.002;0;0;0;0;0;0;0;0;0;3;3.4604;1;3;Protein;Protein;264;slr1573;slr1573;NA;TU3562;hypothetical protein;copper ion binding, metal ion binding, oxidation-reduction process, oxidoreductase activity,;No_GO;slr1573 (Protein) - TU3562;Chr
10;All Replicates;2.411;0.31;0.534;0;0;0.005;0.069;0.014;0.05;0.214;0.048;0.121;0.118;0.048;0.11;0.038;0;0;0.164;7;10.1079;5;4, 7, 9, 12, 18;RNA;3UTR;NA;slr1573-3UTR;slr1573;NA;TU3562;hypothetical protein;copper ion binding, metal ion binding, oxidation-reduction process, oxidoreductase activity,;;slr1573-3UTR (3'UTR) - TU3562;Chr
10;All Replicates;3.235;0.576;0.801;0;0;0.011;0.075;0.078;0.082;0.196;0.07;0.105;0.13;0.102;0.054;0.06;0.013;0.024;0;7;8.5156;2;7, 10;RNA;mRNA;NA;slr1575;slr1575;NA;TU3565;probable potassium efflux system;membrane, transmembrane transport, integral component of membrane,;;slr1575 (mRNA / CDS) - TU3565;Chr
12;All Replicates;24.347;0.675;0.949;0.002;0;0;0;0;0;0.015;0.347;0.463;0.12;0.042;0.004;0.006;0;0;0;9;8.8477;1;9;Protein;Protein;479;slr1575;slr1575;NA;TU3565;probable potassium efflux system;membrane, transmembrane transport, integral component of membrane,;No_GO;slr1575 (Protein) - TU3565;Chr
10;All Replicates;2.664;0.708;0.953;0;0;0;0;0.071;0.172;0.354;0.093;0.061;0.072;0.029;0.038;0.033;0.041;0.035;0;7;8.2591;2;7, 10;RNA;mRNA;NA;slr1576;slr1576;NA;TU3567;unknown protein;NA;;slr1576 (mRNA / CDS) - TU3567;Chr
1;All Replicates;26.856;0.341;0.948;0.088;0.374;0.288;0.044;0.047;0.029;0.028;0.013;0.046;0.01;0.021;0.007;0.001;0.001;0.002;0.001;2;3.4864;1;2;Protein;Protein;106;slr1576;slr1576;NA;TU3567;unknown protein;NA;No_GO;slr1576 (Protein) - TU3567;Chr
10;All Replicates;2.659;0.463;0.861;0;0;0.015;0.025;0.068;0.084;0.296;0.109;0.154;0.075;0.051;0.048;0.033;0.043;0;0;7;8.2513;2;7, 9;RNA;mRNA;NA;slr1577;slr1577;NA;TU3567;hypothetical protein;chromosome separation, cell division, chromosome segregation, cytoplasm, cell cycle,;;slr1577 (mRNA / CDS) - TU3567;Chr
4;All Replicates;26.939;0.883;0.987;0;0.003;0.371;0.513;0.104;0.009;0;0;0;0;0;0;0;0;0;0;4;3.7439;1;4;Protein;Protein;162;slr1577;slr1577;NA;TU3567;hypothetical protein;chromosome separation, cell division, chromosome segregation, cytoplasm, cell cycle,;No_GO;slr1577 (Protein) - TU3567;Chr
10;All Replicates;4.416;0.643;0.945;0;0;0.002;0.016;0.076;0.119;0.248;0.099;0.069;0.089;0.089;0.057;0.04;0.033;0.03;0.035;7;8.9771;1;7;RNA;mRNA;NA;slr1579;slr1579;NA;TU3568;hypothetical protein;NA;;slr1579 (mRNA / CDS) - TU3568;Chr
6;All Replicates;29.049;0.919;0.991;0;0;0.016;0.445;0.361;0.132;0.035;0.005;0;0.004;0.001;0;0;0;0;0;4;4.7669;1;4;Protein;Protein;562;slr1579;slr1579;NA;TU3568;hypothetical protein;NA;No_GO;slr1579 (Protein) - TU3568;Chr
10;All Replicates;1.657;0.103;0.801;0;0;0.045;0.074;0.03;0.153;0.387;0.018;0.064;0.035;0.013;0.024;0;0.037;0;0.121;7;8.4249;4;4, 7, 9, 18;RNA;3UTR;NA;slr1579-3UTR;slr1579;NA;TU3568;hypothetical protein;NA;;slr1579-3UTR (3'UTR) - TU3568;Chr
10;All Replicates;4.333;0.38;0.838;0;0;0.004;0.015;0.069;0.147;0.173;0.085;0.043;0.051;0.097;0.046;0.041;0.061;0.103;0.066;7;10.0056;3;7, 11, 16.5;RNA;mRNA;NA;slr1584;slr1584;NA;TU3582;two-component transcription regulator OmpR subfamily;protein-DNA complex, cytosol, DNA-binding transcription factor activity, DNA-binding transcription activator activity, transcription regulatory region sequence-specific DNA binding, phosphorelay response regulator activity, positive regulation of transcription, DNA-templated, phosphorelay signal transduction system, DNA binding, regulation of transcription, DNA-templated,;;slr1584 (mRNA / CDS) - TU3582;Chr
5;All Replicates;25.668;0.88;0.998;0;0;0.147;0.621;0.19;0.036;0.005;0;0;0;0;0;0;0;0;0;4;4.1304;1;4;Protein;Protein;234;slr1584;slr1584;NA;TU3582;two-component transcription regulator OmpR subfamily;protein-DNA complex, cytosol, DNA-binding transcription factor activity, DNA-binding transcription activator activity, transcription regulatory region sequence-specific DNA binding, phosphorelay response regulator activity, positive regulation of transcription, DNA-templated, phosphorelay signal transduction system, DNA binding, regulation of transcription, DNA-templated,;DNA;slr1584 (Protein) - TU3582;Chr
14;All Replicates;2.205;0.143;0.928;0;0;0.004;0.112;0.035;0.035;0.058;0.044;0.233;0.176;0.14;0.04;0.038;0.038;0;0.048;9;9.3803;2;4, 9;RNA;Transposase;NA;slr1585;slr1585;NA;TU3582;NA;;;slr1585 (transp mRNA / CDS) - TU3582;Chr
10;All Replicates;4.098;0.467;0.894;0;0.003;0.004;0.033;0.048;0.122;0.274;0.116;0.032;0.069;0.049;0.04;0.066;0.016;0.083;0.046;7;9.2402;4;7, 10, 13, 16.5;RNA;mRNA;NA;slr1588;slr1588;NA;TU3586;two-component transcription regulator;phosphorelay signal transduction system,;;slr1588 (mRNA / CDS) - TU3586;Chr
4;All Replicates;28.869;0.851;0.995;0.001;0.027;0.246;0.5;0.172;0.049;0.004;0;0;0;0;0;0;0;0;0;4;3.9802;1;4;Protein;Protein;421;slr1588;slr1588;NA;TU3586;two-component transcription regulator;phosphorelay signal transduction system,;No_GO;slr1588 (Protein) - TU3586;Chr
10;All Replicates;6.285;0.872;0.986;0;0;0.001;0.015;0.099;0.19;0.281;0.119;0.044;0.059;0.051;0.033;0.036;0.028;0.038;0.008;7;8.1861;1;7;RNA;mRNA;NA;slr1590;slr1590;NA;TU430;hypothetical protein;NA;;slr1590 (mRNA / CDS) - TU430;Chr
7;All Replicates;31.433;0.873;0.987;0;0.001;0.01;0.367;0.458;0.114;0.035;0.007;0.003;0.003;0.001;0;0;0;0;0;5;4.8538;1;5;Protein;Protein;295;slr1590;slr1590;NA;TU430;hypothetical protein;NA;No_GO;slr1590 (Protein) - TU430;Chr
10;All Replicates;2.511;0.338;0.933;0;0;0.007;0.08;0.058;0.186;0.197;0.087;0.103;0.1;0.061;0.039;0.043;0;0.038;0;7;8.0851;3;4, 7, 9;RNA;mRNA;NA;slr1597;slr1597;NA;TU443;chromosome partitioning ATPase, ParA family;NA;;slr1597 (mRNA / CDS) - TU443;Chr
6;All Replicates;26.509;0.788;0.979;0.001;0.001;0.14;0.389;0.262;0.087;0.073;0.027;0.01;0.006;0.003;0;0;0;0;0.001;4;4.7374;1;4;Protein;Protein;298;slr1597;slr1597;NA;TU443;chromosome partitioning ATPase, ParA family;NA;No_GO;slr1597 (Protein) - TU443;Chr
10;All Replicates;4.419;0.89;0.986;0;0;0.005;0.009;0.118;0.198;0.248;0.116;0.068;0.091;0.065;0.03;0.023;0.027;0.002;0;7;7.81;2;7, 10;RNA;mRNA;NA;slr1599;slr1599;NA;TU451;hypothetical protein;integral component of membrane, membrane,;;slr1599 (mRNA / CDS) - TU451;Chr
5;All Replicates;24.348;0.58;0.97;0;0;0.034;0.795;0.115;0.055;0;0;0;0;0;0;0;0;0;0;4;4.1912;1;4;Protein;Protein;188;slr1599;slr1599;NA;TU451;hypothetical protein;integral component of membrane, membrane,;No_GO;slr1599 (Protein) - TU451;Chr
10;All Replicates;2.624;0.499;0.889;0;0;0;0;0.18;0.228;0.247;0.068;0.038;0.046;0.048;0.015;0.018;0.012;0;0.103;7;8.2977;2;7, 18;RNA;5UTR;NA;slr1599-5UTR;slr1599;NA;TU451;hypothetical protein;integral component of membrane, membrane,;;slr1599-5UTR (5'UTR) - TU451;Chr
10;All Replicates;2.719;0.569;0.936;0.001;0.002;0.018;0.009;0.043;0.158;0.276;0.118;0.059;0.129;0.051;0.074;0.049;0.014;0;0;7;8.2431;3;7, 10, 12;RNA;mRNA;NA;slr1600;slr1600;NA;TU454;hypothetical protein;NA;;slr1600 (mRNA / CDS) - TU454;Chr
5;All Replicates;30.214;0.816;0.981;0.007;0.051;0.117;0.464;0.259;0.065;0.021;0.003;0.007;0.002;0;0;0;0;0;0.004;4;4.3307;1;4;Protein;Protein;149;slr1600;slr1600;NA;TU454;hypothetical protein;NA;No_GO;slr1600 (Protein) - TU454;Chr
10;All Replicates;3.976;0.855;0.738;0.001;0;0.001;0.029;0.294;0.302;0.167;0.045;0.026;0.051;0.026;0.012;0.024;0.007;0.01;0.007;6;6.7965;1;6;RNA;3UTR;NA;slr1600-3UTR;slr1600;NA;TU454;hypothetical protein;NA;;slr1600-3UTR (3'UTR) - TU454;Chr
10;All Replicates;7.438;0.864;0.986;0;0;0.001;0.005;0.082;0.189;0.24;0.107;0.06;0.062;0.071;0.057;0.041;0.035;0.019;0.033;7;8.6519;2;7, 11;RNA;mRNA;NA;slr1603;slr1603;NA;TU459;hypothetical protein;membrane, integral component of membrane,;;slr1603 (mRNA / CDS) - TU459;Chr
6;All Replicates;25.915;0.551;0.935;0.009;0.019;0;0.39;0.233;0.044;0;0.009;0.001;0.043;0.102;0.038;0.035;0.025;0.015;0.037;4;6.859;2;4, 11;Protein;Protein;440;slr1603;slr1603;NA;TU459;hypothetical protein;membrane, integral component of membrane,;No_GO;slr1603 (Protein) - TU459;Chr
10;All Replicates;3.955;0.604;0.976;0;0;0.01;0.035;0.088;0.147;0.274;0.105;0.062;0.078;0.062;0.051;0.045;0.024;0.02;0;7;8.1318;2;7, 10;RNA;mRNA;NA;slr1609;slr1609;NA;TU476;long-chain-fatty-acid CoA ligase;catalytic activity, ligase activity,;;slr1609 (mRNA / CDS) - TU476;Chr
8;All Replicates;29.682;0.932;0.982;0;0.003;0.011;0.198;0.397;0.23;0.109;0.033;0.007;0.006;0.003;0.001;0;0;0;0.001;5;5.418;1;5;Protein;Protein;696;slr1609;slr1609;NA;TU476;long-chain-fatty-acid CoA ligase;catalytic activity, ligase activity,;No_GO;slr1609 (Protein) - TU476;Chr
10;All Replicates;4.363;0.755;0.98;0;0;0.007;0.016;0.127;0.189;0.274;0.074;0.068;0.08;0.053;0.02;0.031;0.026;0.014;0.019;7;7.9639;2;7, 10;RNA;mRNA;NA;slr1610;slr1610;NA;TU353;putative C-3 methyl transferase;NA;;slr1610 (mRNA / CDS) - TU353;Chr
8;All Replicates;29.088;0.82;0.967;0;0;0.001;0.087;0.409;0.335;0.074;0.017;0.003;0.006;0.002;0;0;0;0;0.066;5;6.3583;2;5, 18;Protein;Protein;433;slr1610;slr1610;NA;TU353;putative C-3 methyl transferase;NA;No_GO;slr1610 (Protein) - TU353;Chr
10;All Replicates;3.263;0.726;0.884;0.001;0;0.002;0.013;0.059;0.374;0.23;0.069;0.048;0.124;0.048;0;0.027;0;0.003;0;6;7.3688;2;6, 10;RNA;mRNA;NA;slr1611;slr1611;NA;TU353;NA;NA;;slr1611 (mRNA / CDS) - TU353;Chr
0;Replicate 2 + 3;1;-1;-1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;4;4;1;4;Protein;Protein;150;slr1611;slr1611;NA;TU353;NA;NA;;slr1611 (Protein) - TU353;Chr
10;All Replicates;5.146;0.834;0.985;0;0;0.004;0.023;0.113;0.201;0.324;0.092;0.061;0.071;0.053;0.019;0.013;0.015;0.011;0;7;7.5231;2;7, 10;RNA;mRNA;NA;slr1612;slr1612;NA;TU355;NA;NA;;slr1612 (mRNA / CDS) - TU355;Chr
