locustag;genename;annotation;KEGG Orthology;database;MainCategory;MainPathway;Category;undefined;Pathway;Complex/Type;Details;Summary
sll0372;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0375;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0376;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0381;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0394;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0397;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0405;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0406;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0412;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0413;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0419;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0423;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0424;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0426;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0428;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0436;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0441;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0442;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0443;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0444;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0445;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0446;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0447;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0448;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0451;NA;sll0451 hypothetical protein;"K02348 elaA; ElaA protein";syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;General function prediction only;;Not Included in Pathway or Brite - Poorly characterized - General function prediction only
sll0456;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0462;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0470;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0471;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0474;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0477;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0478;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0481;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0482;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0487;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0488;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0494;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0497;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0498;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0499;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0503;;sll0503 unknown protein;"K06883 K06883; uncharacterized protein";syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0505;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0508;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0514;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0517;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0518;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0524;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0528;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0529;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0536;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0539;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0543;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0547;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0549;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0552;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0553;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0558;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0563;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0564;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0565;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0572;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0576;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0584;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0588;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0590;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0594;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0595;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0597;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0608;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0611;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0614;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0623;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0625;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0626;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0630;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0634;btpA;"sll0634 btpA; BtpA";"K06971 K06971; uncharacterized protein";syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0638;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0639;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0641;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0644;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0645;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0647;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0648;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0654;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0656;nucH;"sll0656 nucH; extracellular nuclease";"K07004 K07004; uncharacterized protein";syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0658;Not in dataset;sll0658 unknown protein;"K07066 K07066; uncharacterized protein";syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0661;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0664;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0676;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0685;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0686;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0688;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0691;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0696;;sll0696 unknown protein;"K07052 K07052; uncharacterized protein";syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0702;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0703;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0710;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0721;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0722;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0723;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0727;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0732;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0733;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0736;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0737;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0740;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0742;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0749;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0756;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0761;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0762;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0763;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0765;;sll0765 hypothetical protein;"K07146 K07146; UPF0176 protein";syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;General function prediction only;;Not Included in Pathway or Brite - Poorly characterized - General function prediction only
sll0775;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0777;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0779;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0781;NA;sll0781 unknown protein;"K09958 K09958; uncharacterized protein";syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0783;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0787;;sll0787 hypothetical protein;"K07123 K07123; uncharacterized protein";syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0788;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0788,slr6039;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0800;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0802;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0803;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0804;NA;sll0804 unknown protein;"K06883 K06883; uncharacterized protein";syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0810;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0812;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0815;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
